question,entities_for_tables,entities_for_columns,query,tables,entities
How many students does LORIA ONDERSMA teaches?,"['students', 'teachers']",['LORIA ONDERSMA'],"SELECT count(*) FROM list AS T1 JOIN teachers AS T2 ON T1.classroom  =  T2.classroom WHERE T2.firstname  =  ""LORIA"" AND T2.lastname  =  ""ONDERSMA""","['list', 'teachers']","['students', 'teachers', 'LORIA ONDERSMA']"
Count the number of students the teacher LORIA ONDERSMA teaches.,"['students', 'teacher']",['LORIA ONDERSMA'],"SELECT count(*) FROM list AS T1 JOIN teachers AS T2 ON T1.classroom  =  T2.classroom WHERE T2.firstname  =  ""LORIA"" AND T2.lastname  =  ""ONDERSMA""","['list', 'teachers']","['students', 'teacher', 'LORIA ONDERSMA']"
How many students does KAWA GORDON teaches?,"['students', 'teachers']",['KAWA GORDON'],"SELECT count(*) FROM list AS T1 JOIN teachers AS T2 ON T1.classroom  =  T2.classroom WHERE T2.firstname  =  ""KAWA"" AND T2.lastname  =  ""GORDON""","['list', 'teachers']","['students', 'teachers', 'KAWA GORDON']"
Find the number of students taught by the teacher KAWA GORDON.,"['students', 'teacher']","['number', 'name']","SELECT count(*) FROM list AS T1 JOIN teachers AS T2 ON T1.classroom  =  T2.classroom WHERE T2.firstname  =  ""KAWA"" AND T2.lastname  =  ""GORDON""","['list', 'teachers']","['students', 'teacher', 'number', 'name']"
Find the number of students taught by TARRING LEIA.,"['students', 'teachers']",['TARRING LEIA'],"SELECT count(*) FROM list AS T1 JOIN teachers AS T2 ON T1.classroom  =  T2.classroom WHERE T2.firstname  =  ""TARRING"" AND T2.lastname  =  ""LEIA""","['list', 'teachers']","['students', 'teachers', 'TARRING LEIA']"
How many students are taught by teacher TARRING LEIA?,"['students', 'teacher']",['TARRING LEIA'],"SELECT count(*) FROM list AS T1 JOIN teachers AS T2 ON T1.classroom  =  T2.classroom WHERE T2.firstname  =  ""TARRING"" AND T2.lastname  =  ""LEIA""","['list', 'teachers']","['students', 'teacher', 'TARRING LEIA']"
How many teachers does the student named CHRISSY NABOZNY have?,"['teachers', 'student']",['name'],"SELECT count(*) FROM list AS T1 JOIN teachers AS T2 ON T1.classroom  =  T2.classroom WHERE T1.firstname  =  ""CHRISSY"" AND T1.lastname  =  ""NABOZNY""","['list', 'teachers']","['teachers', 'student', 'name']"
Find the number of teachers who teach the student called CHRISSY NABOZNY.,"['teachers', 'student']","['number', 'name']","SELECT count(*) FROM list AS T1 JOIN teachers AS T2 ON T1.classroom  =  T2.classroom WHERE T1.firstname  =  ""CHRISSY"" AND T1.lastname  =  ""NABOZNY""","['list', 'teachers']","['teachers', 'student', 'number', 'name']"
How many teachers does the student named MADLOCK RAY have?,"['teachers', 'student']",['MADLOCK RAY'],"SELECT count(*) FROM list AS T1 JOIN teachers AS T2 ON T1.classroom  =  T2.classroom WHERE T1.firstname  =  ""MADLOCK"" AND T1.lastname  =  ""RAY""","['list', 'teachers']","['teachers', 'student', 'MADLOCK RAY']"
Find the number of teachers who teach the student called MADLOCK RAY.,"['teachers', 'student']",['MADLOCK RAY'],"SELECT count(*) FROM list AS T1 JOIN teachers AS T2 ON T1.classroom  =  T2.classroom WHERE T1.firstname  =  ""MADLOCK"" AND T1.lastname  =  ""RAY""","['list', 'teachers']","['teachers', 'student', 'MADLOCK RAY']"
Find all first-grade students who are NOT taught by OTHA MOYER. Report their first and last names.,"['students', 'teachers']","['grade', 'first name', 'last name', 'OTHA MOYER']","SELECT DISTINCT T1.firstname ,  T1.lastname FROM list AS T1 JOIN teachers AS T2 ON T1.classroom  =  T2.classroom WHERE T1.grade  =  1 EXCEPT SELECT T1.firstname ,  T1.lastname FROM list AS T1 JOIN teachers AS T2 ON T1.classroom  =  T2.classroom WHERE T2.firstname  =  ""OTHA"" AND T2.lastname  =  ""MOYER""","['list', 'teachers']","['students', 'teachers', 'grade', 'first name', 'last name', 'OTHA MOYER']"
What are the first and last names of the first-grade students who are NOT taught by teacher OTHA MOYER?,"['students', 'teachers']","['first names', 'last names', 'grade', 'teacher']","SELECT DISTINCT T1.firstname ,  T1.lastname FROM list AS T1 JOIN teachers AS T2 ON T1.classroom  =  T2.classroom WHERE T1.grade  =  1 EXCEPT SELECT T1.firstname ,  T1.lastname FROM list AS T1 JOIN teachers AS T2 ON T1.classroom  =  T2.classroom WHERE T2.firstname  =  ""OTHA"" AND T2.lastname  =  ""MOYER""","['list', 'teachers']","['students', 'teachers', 'first names', 'last names', 'grade', 'teacher']"
Find the last names of the students in third grade that are not taught by COVIN JEROME.,['students'],"['last names', 'grade', 'taught by']","SELECT DISTINCT T1.lastname FROM list AS T1 JOIN teachers AS T2 ON T1.classroom  =  T2.classroom WHERE T1.grade  =  3 AND T2.firstname != ""COVIN"" AND T2.lastname != ""JEROME""","['list', 'teachers']","['students', 'last names', 'grade', 'taught by']"
Which students in third grade are not taught by teacher COVIN JEROME? Give me the last names of the students.,"['students', 'teachers']","['grade', 'third grade', 'teacher', 'last names']","SELECT DISTINCT T1.lastname FROM list AS T1 JOIN teachers AS T2 ON T1.classroom  =  T2.classroom WHERE T1.grade  =  3 AND T2.firstname != ""COVIN"" AND T2.lastname != ""JEROME""","['list', 'teachers']","['students', 'teachers', 'grade', 'third grade', 'teacher', 'last names']"
"For each grade, report the grade, the number of classrooms in which it is taught and the total number of students in the grade.","['grade', 'classrooms', 'students']","['grade', 'number of classrooms', 'total number of students']","SELECT grade ,  count(DISTINCT classroom) ,  count(*) FROM list GROUP BY grade",['list'],"['grade', 'classrooms', 'students', 'grade', 'number of classrooms', 'total number of students']"
"For each grade, return the grade number, the number of classrooms used for the grade, and the total number of students enrolled in the grade.",['grade'],"['grade number', 'number of classrooms', 'total number of students', 'enrolled']","SELECT grade ,  count(DISTINCT classroom) ,  count(*) FROM list GROUP BY grade",['list'],"['grade', 'grade number', 'number of classrooms', 'total number of students', 'enrolled']"
"For each classroom, report the classroom number and the number of grades using it.","['classroom', 'grades']",['classroom number'],"SELECT classroom ,  count(DISTINCT grade) FROM list GROUP BY classroom",['list'],"['classroom', 'grades', 'classroom number']"
"For each classroom, show the classroom number and count the number of distinct grades that use the room.",['classroom'],"['classroom number', 'grades']","SELECT classroom ,  count(DISTINCT grade) FROM list GROUP BY classroom",['list'],"['classroom', 'classroom number', 'grades']"
Which classroom has the most students?,"['classroom', 'students']","['classroom', 'students']",SELECT classroom FROM list GROUP BY classroom ORDER BY count(*) DESC LIMIT 1,['list'],"['classroom', 'students', 'classroom', 'students']"
Find the classroom that the most students use.,"['classroom', 'students']",['classroom'],SELECT classroom FROM list GROUP BY classroom ORDER BY count(*) DESC LIMIT 1,['list'],"['classroom', 'students', 'classroom']"
Report the number of students in each classroom.,"['students', 'classroom']",['number'],"SELECT classroom ,  count(*) FROM list GROUP BY classroom",['list'],"['students', 'classroom', 'number']"
"For each classroom, show the classroom number and find how many students are using it.","['classroom', 'students']",['classroom number'],"SELECT classroom ,  count(*) FROM list GROUP BY classroom",['list'],"['classroom', 'students', 'classroom number']"
"For each grade 0 classroom, report the total number of students.","['classroom', 'students']",['grade'],"SELECT classroom ,  count(*) FROM list WHERE grade  =  ""0"" GROUP BY classroom",['list'],"['classroom', 'students', 'grade']"
"For each grade 0 classroom, return the classroom number and the count of students.",['classroom'],"['grade', 'classroom number', 'count of students']","SELECT classroom ,  count(*) FROM list WHERE grade  =  ""0"" GROUP BY classroom",['list'],"['classroom', 'grade', 'classroom number', 'count of students']"
Report the total number of students for each fourth-grade classroom.,"['students', 'classroom']","['number', 'grade']","SELECT classroom ,  count(*) FROM list WHERE grade  =  ""4"" GROUP BY classroom",['list'],"['students', 'classroom', 'number', 'grade']"
"For each fourth-grade classroom, show the classroom number and the total number of students using it.",['classroom'],"['grade', 'classroom number', 'number of students']","SELECT classroom ,  count(*) FROM list WHERE grade  =  ""4"" GROUP BY classroom",['list'],"['classroom', 'grade', 'classroom number', 'number of students']"
Find the name of the teacher who teaches the largest number of students.,"['teacher', 'students']","['name', 'number of students']","SELECT T2.firstname ,  T2.lastname FROM list AS T1 JOIN teachers AS T2 ON T1.classroom  =  T2.classroom GROUP BY T2.firstname ,  T2.lastname ORDER BY count(*) DESC LIMIT 1","['list', 'teachers']","['teacher', 'students', 'name', 'number of students']"
Which teacher teaches the most students? Give me the first name and last name of the teacher.,"['teacher', 'students']","['first name', 'last name']","SELECT T2.firstname ,  T2.lastname FROM list AS T1 JOIN teachers AS T2 ON T1.classroom  =  T2.classroom GROUP BY T2.firstname ,  T2.lastname ORDER BY count(*) DESC LIMIT 1","['list', 'teachers']","['teacher', 'students', 'first name', 'last name']"
Find the number of students in one classroom.,"['students', 'classroom']",['number'],"SELECT count(*) ,  classroom FROM list GROUP BY classroom",['list'],"['students', 'classroom', 'number']"
How many students does one classroom have?,"['classroom', 'students']",['count'],"SELECT count(*) ,  classroom FROM list GROUP BY classroom",['list'],"['classroom', 'students', 'count']"
How many companies are headquartered in the US?,['companies'],"['headquartered', 'US']",SELECT count(*) FROM company WHERE Headquarters  =  'USA',['company'],"['companies', 'headquartered', 'US']"
List the names of companies by ascending number of sales.,['companies'],"['names', 'sales']",SELECT Name FROM company ORDER BY Sales_in_Billion ASC,['company'],"['companies', 'names', 'sales']"
What are the headquarters and industries of all companies?,['companies'],"['headquarters', 'industries']","SELECT Headquarters ,  Industry FROM company",['company'],"['companies', 'headquarters', 'industries']"
Show the names of companies in the banking or retailing industry?,['companies'],"['names', 'industry', 'banking', 'retailing']","SELECT Name FROM company WHERE Industry  =  ""Banking"" OR Industry  =  ""Retailing""",['company'],"['companies', 'names', 'industry', 'banking', 'retailing']"
What is the maximum and minimum market value of companies?,['companies'],['market value'],"SELECT max(Market_Value_in_Billion) ,  min(Market_Value_in_Billion) FROM company",['company'],"['companies', 'market value']"
What is the headquarter of the company with the largest sales?,['company'],"['headquarter', 'sales']",SELECT Headquarters FROM company ORDER BY Sales_in_Billion DESC LIMIT 1,['company'],"['company', 'headquarter', 'sales']"
Show the different headquarters and number of companies at each headquarter.,['companies'],"['headquarters', 'number of companies']","SELECT Headquarters ,  COUNT(*) FROM company GROUP BY Headquarters",['company'],"['companies', 'headquarters', 'number of companies']"
Show the most common headquarter for companies.,['companies'],['headquarter'],SELECT Headquarters FROM company GROUP BY Headquarters ORDER BY COUNT(*) DESC LIMIT 1,['company'],"['companies', 'headquarter']"
Show the headquarters that have at least two companies.,"['companies', 'headquarters']",['headquarters'],SELECT Headquarters FROM company GROUP BY Headquarters HAVING COUNT(*)  >=  2,['company'],"['companies', 'headquarters', 'headquarters']"
Show the headquarters that have both companies in banking industry and companies in oil and gas industry.,['companies'],"['headquarters', 'industry']","SELECT Headquarters FROM company WHERE Industry  =  ""Banking"" INTERSECT SELECT Headquarters FROM company WHERE Industry  =  ""Oil and gas""",['company'],"['companies', 'headquarters', 'industry']"
Show the names of companies and of employees.,"['companies', 'employees']",['names'],"SELECT T3.Name ,  T2.Name FROM employment AS T1 JOIN people AS T2 ON T1.People_ID  =  T2.People_ID JOIN company AS T3 ON T1.Company_ID  =  T3.Company_ID","['employment', 'people', 'company']","['companies', 'employees', 'names']"
Show names of companies and that of employees in descending order of number of years working for that employee.,"['companies', 'employees']","['names', 'number of years working']","SELECT T3.Name ,  T2.Name FROM employment AS T1 JOIN people AS T2 ON T1.People_ID  =  T2.People_ID JOIN company AS T3 ON T1.Company_ID  =  T3.Company_ID ORDER BY T1.Year_working","['employment', 'people', 'company']","['companies', 'employees', 'names', 'number of years working']"
Show the names of employees that work for companies with sales bigger than 200.,"['employees', 'companies']","['names', 'sales']",SELECT T2.Name FROM employment AS T1 JOIN people AS T2 ON T1.People_ID  =  T2.People_ID JOIN company AS T3 ON T1.Company_ID  =  T3.Company_ID WHERE T3.Sales_in_Billion  >  200,"['employment', 'people', 'company']","['employees', 'companies', 'names', 'sales']"
Show the names of companies and the number of employees they have,['companies'],"['names', 'number of employees']","SELECT T3.Name ,  COUNT(*) FROM employment AS T1 JOIN people AS T2 ON T1.People_ID  =  T2.People_ID JOIN company AS T3 ON T1.Company_ID  =  T3.Company_ID GROUP BY T3.Name","['employment', 'people', 'company']","['companies', 'names', 'number of employees']"
List the names of people that are not employed by any company,"['people', 'company']","['names', 'employed']",SELECT Name FROM people WHERE People_ID NOT IN (SELECT People_ID FROM employment),"['employment', 'people']","['people', 'company', 'names', 'employed']"
list the names of the companies with more than 200 sales in the descending order of sales and profits.,['companies'],"['names', 'sales', 'profits']","SELECT name FROM company WHERE Sales_in_Billion  >  200 ORDER BY Sales_in_Billion ,  Profits_in_Billion DESC",['company'],"['companies', 'names', 'sales', 'profits']"
How many film are there?,['film'],['count'],SELECT count(*) FROM film,['film'],"['film', 'count']"
Count the number of films.,['films'],['count'],SELECT count(*) FROM film,['film'],"['films', 'count']"
List the distinct director of all films.,['films'],['director'],SELECT DISTINCT Director FROM film,['film'],"['films', 'director']"
What are the different film Directors?,['film'],['Directors'],SELECT DISTINCT Director FROM film,['film'],"['film', 'Directors']"
What is the average ticket sales gross in dollars of films?,['films'],"['ticket sales', 'gross', 'dollars', 'average']",SELECT avg(Gross_in_dollar) FROM film,['film'],"['films', 'ticket sales', 'gross', 'dollars', 'average']"
Return the average gross sales in dollars across all films.,['films'],['gross sales'],SELECT avg(Gross_in_dollar) FROM film,['film'],"['films', 'gross sales']"
What are the low and high estimates of film markets?,"['film', 'markets']","['low estimates', 'high estimates']","SELECT Low_Estimate ,  High_Estimate FROM film_market_estimation",['film_market_estimation'],"['film', 'markets', 'low estimates', 'high estimates']"
Return the low and high estimates for all film markets.,['film markets'],"['low estimates', 'high estimates']","SELECT Low_Estimate ,  High_Estimate FROM film_market_estimation",['film_market_estimation'],"['film markets', 'low estimates', 'high estimates']"
What are the types of film market estimations in year 1995?,"['film', 'market', 'estimations']","['types', 'year']",SELECT TYPE FROM film_market_estimation WHERE YEAR  =  1995,['film_market_estimation'],"['film', 'market', 'estimations', 'types', 'year']"
Return the types of film market estimations in 1995.,['film market estimations'],"['types', '1995']",SELECT TYPE FROM film_market_estimation WHERE YEAR  =  1995,['film_market_estimation'],"['film market estimations', 'types', '1995']"
What are the maximum and minimum number of cities in all markets.,['markets'],"['cities', 'number of cities']","SELECT max(Number_cities) ,  min(Number_cities) FROM market",['market'],"['markets', 'cities', 'number of cities']"
Return the maximum and minimum number of cities across all markets.,"['markets', 'cities']",['number of cities'],"SELECT max(Number_cities) ,  min(Number_cities) FROM market",['market'],"['markets', 'cities', 'number of cities']"
How many markets have number of cities smaller than 300?,['markets'],['number of cities'],SELECT count(*) FROM market WHERE Number_cities  <  300,['market'],"['markets', 'number of cities']"
Count the number of markets that have a number of cities lower than 300.,['markets'],"['cities', 'number']",SELECT count(*) FROM market WHERE Number_cities  <  300,['market'],"['markets', 'cities', 'number']"
List all countries of markets in ascending alphabetical order.,"['markets', 'countries']",['countries'],SELECT Country FROM market ORDER BY Country ASC,['market'],"['markets', 'countries', 'countries']"
"What are the countries for each market, ordered alphabetically?","['market', 'country']","['country', 'market']",SELECT Country FROM market ORDER BY Country ASC,['market'],"['market', 'country', 'country', 'market']"
List all countries of markets in descending order of number of cities.,"['countries', 'markets', 'cities']",['number of cities'],SELECT Country FROM market ORDER BY Number_cities DESC,['market'],"['countries', 'markets', 'cities', 'number of cities']"
What are the countries for each market ordered by decreasing number of cities?,"['countries', 'market', 'cities']","['countries', 'market', 'cities', 'number of cities']",SELECT Country FROM market ORDER BY Number_cities DESC,['market'],"['countries', 'market', 'cities', 'countries', 'market', 'cities', 'number of cities']"
Please show the titles of films and the types of market estimations.,['films'],"['titles', 'types of market estimations']","SELECT T1.Title ,  T2.Type FROM film AS T1 JOIN film_market_estimation AS T2 ON T1.Film_ID  =  T2.Film_ID","['film', 'film_market_estimation']","['films', 'titles', 'types of market estimations']"
What are the titles of films and corresponding types of market estimations?,['films'],"['titles', 'types of market estimations']","SELECT T1.Title ,  T2.Type FROM film AS T1 JOIN film_market_estimation AS T2 ON T1.Film_ID  =  T2.Film_ID","['film', 'film_market_estimation']","['films', 'titles', 'types of market estimations']"
Show the distinct director of films with market estimation in the year of 1995.,['films'],"['director', 'market estimation', 'year']",SELECT DISTINCT T1.Director FROM film AS T1 JOIN film_market_estimation AS T2 ON T1.Film_ID  =  T2.Film_ID WHERE T2.Year  =  1995,"['film', 'film_market_estimation']","['films', 'director', 'market estimation', 'year']"
Who are the different directors of films which had market estimation in 1995?,['films'],"['directors', 'market estimation', '1995']",SELECT DISTINCT T1.Director FROM film AS T1 JOIN film_market_estimation AS T2 ON T1.Film_ID  =  T2.Film_ID WHERE T2.Year  =  1995,"['film', 'film_market_estimation']","['films', 'directors', 'market estimation', '1995']"
What is the average number of cities of markets with low film market estimate bigger than 10000?,"['markets', 'film market']","['cities', 'low film market estimate']",SELECT avg(T2.Number_cities) FROM film_market_estimation AS T1 JOIN market AS T2 ON T1.Market_ID  =  T2.Market_ID WHERE T1.Low_Estimate  >  10000,"['film_market_estimation', 'market']","['markets', 'film market', 'cities', 'low film market estimate']"
Give the average number of cities within markets that had a low market estimation larger than 10000?,"['markets', 'cities']","['low market estimation', 'number of cities', 'average']",SELECT avg(T2.Number_cities) FROM film_market_estimation AS T1 JOIN market AS T2 ON T1.Market_ID  =  T2.Market_ID WHERE T1.Low_Estimate  >  10000,"['film_market_estimation', 'market']","['markets', 'cities', 'low market estimation', 'number of cities', 'average']"
Please list the countries and years of film market estimations.,"['film market', 'countries']","['countries', 'years', 'estimations']","SELECT T2.Country ,  T1.Year FROM film_market_estimation AS T1 JOIN market AS T2 ON T1.Market_ID  =  T2.Market_ID","['film_market_estimation', 'market']","['film market', 'countries', 'countries', 'years', 'estimations']"
What are the countries of markets and their corresponding years of market estimation?,['markets'],"['countries', 'years', 'market estimation']","SELECT T2.Country ,  T1.Year FROM film_market_estimation AS T1 JOIN market AS T2 ON T1.Market_ID  =  T2.Market_ID","['film_market_estimation', 'market']","['markets', 'countries', 'years', 'market estimation']"
"Please list the years of film market estimations when the market is in country ""Japan"" in descending order.",['film market estimations'],"['years', 'country', 'Japan']","SELECT T1.Year FROM film_market_estimation AS T1 JOIN market AS T2 ON T1.Market_ID  =  T2.Market_ID WHERE T2.Country  =  ""Japan"" ORDER BY T1.Year DESC","['film_market_estimation', 'market']","['film market estimations', 'years', 'country', 'Japan']"
"What are the years of film market estimation for the market of Japan, ordered by year descending?",['film market'],"['years', 'market', 'Japan']","SELECT T1.Year FROM film_market_estimation AS T1 JOIN market AS T2 ON T1.Market_ID  =  T2.Market_ID WHERE T2.Country  =  ""Japan"" ORDER BY T1.Year DESC","['film_market_estimation', 'market']","['film market', 'years', 'market', 'Japan']"
List the studios of each film and the number of films produced by that studio.,"['film', 'studio']","['studio', 'number of films']","SELECT Studio ,  COUNT(*) FROM film GROUP BY Studio",['film'],"['film', 'studio', 'studio', 'number of films']"
How films are produced by each studio?,"['films', 'studio']",['produced'],"SELECT Studio ,  COUNT(*) FROM film GROUP BY Studio",['film'],"['films', 'studio', 'produced']"
List the name of film studio that have the most number of films.,"['film', 'studio']","['name', 'number of films']",SELECT Studio FROM film GROUP BY Studio ORDER BY COUNT(*) DESC LIMIT 1,['film'],"['film', 'studio', 'name', 'number of films']"
What is the name of teh studio that created the most films?,"['studio', 'films']","['name', 'created']",SELECT Studio FROM film GROUP BY Studio ORDER BY COUNT(*) DESC LIMIT 1,['film'],"['studio', 'films', 'name', 'created']"
List the names of studios that have at least two films.,"['studios', 'films']",['names'],SELECT Studio FROM film GROUP BY Studio HAVING COUNT(*)  >=  2,['film'],"['studios', 'films', 'names']"
What are the names of studios that have made two or more films?,"['studios', 'films']",['names'],SELECT Studio FROM film GROUP BY Studio HAVING COUNT(*)  >=  2,['film'],"['studios', 'films', 'names']"
List the title of films that do not have any market estimation.,['films'],"['title', 'market estimation']",SELECT Title FROM film WHERE Film_ID NOT IN (SELECT Film_ID FROM film_market_estimation),"['film', 'film_market_estimation']","['films', 'title', 'market estimation']"
What are the titles of films that do not have a film market estimation?,['films'],"['titles', 'film market estimation']",SELECT Title FROM film WHERE Film_ID NOT IN (SELECT Film_ID FROM film_market_estimation),"['film', 'film_market_estimation']","['films', 'titles', 'film market estimation']"
"Show the studios that have produced films with director ""Nicholas Meyer"" and ""Walter Hill"".","['studios', 'films']",['director'],"SELECT Studio FROM film WHERE Director  =  ""Nicholas Meyer"" INTERSECT SELECT Studio FROM film WHERE Director  =  ""Walter Hill""",['film'],"['studios', 'films', 'director']"
What are the names of studios that have produced films with both Nicholas Meyer and Walter Hill?,"['studios', 'films']","['names', 'Nicholas Meyer', 'Walter Hill']","SELECT Studio FROM film WHERE Director  =  ""Nicholas Meyer"" INTERSECT SELECT Studio FROM film WHERE Director  =  ""Walter Hill""",['film'],"['studios', 'films', 'names', 'Nicholas Meyer', 'Walter Hill']"
"Find the titles and studios of the films that are produced by some film studios that contained the word ""Universal"".","['films', 'film studios']","['titles', 'studios', 'Universal']","SELECT title ,  Studio FROM film WHERE Studio LIKE ""%Universal%""",['film'],"['films', 'film studios', 'titles', 'studios', 'Universal']"
"What are the titles and studios of films that have been produced by a studio whose name contains ""Universal""?",['films'],"['titles', 'studios', 'Universal']","SELECT title ,  Studio FROM film WHERE Studio LIKE ""%Universal%""",['film'],"['films', 'titles', 'studios', 'Universal']"
"Show the studios that have not produced films with director ""Walter Hill"".","['studios', 'films']","['director', 'Walter Hill']","SELECT Studio FROM film EXCEPT SELECT Studio FROM film WHERE Director  =  ""Walter Hill""",['film'],"['studios', 'films', 'director', 'Walter Hill']"
Which studios have never worked with the director Walter Hill?,"['studios', 'director']",['Walter Hill'],"SELECT Studio FROM film EXCEPT SELECT Studio FROM film WHERE Director  =  ""Walter Hill""",['film'],"['studios', 'director', 'Walter Hill']"
List the studios which average gross is above 4500000.,['studios'],['average gross'],SELECT Studio FROM film GROUP BY Studio HAVING avg(Gross_in_dollar)  >=  4500000,['film'],"['studios', 'average gross']"
Which studios have an average gross of over 4500000?,['studios'],['average gross'],SELECT Studio FROM film GROUP BY Studio HAVING avg(Gross_in_dollar)  >=  4500000,['film'],"['studios', 'average gross']"
What is the title of the film that has the highest high market estimation.,['film'],"['title', 'high market estimation']",SELECT t1.title FROM film AS T1 JOIN film_market_estimation AS T2  ON T1.Film_ID  =  T2.Film_ID ORDER BY high_estimate DESC LIMIT 1,"['film', 'film_market_estimation']","['film', 'title', 'high market estimation']"
Return the title of the film with the highest high estimate?,['film'],"['title', 'high estimate']",SELECT t1.title FROM film AS T1 JOIN film_market_estimation AS T2  ON T1.Film_ID  =  T2.Film_ID ORDER BY high_estimate DESC LIMIT 1,"['film', 'film_market_estimation']","['film', 'title', 'high estimate']"
What are the titles and directors of the films were never presented in China?,['films'],"['titles', 'directors', 'presented', 'China']","SELECT title ,  director FROM film WHERE film_id NOT IN (SELECT film_id FROM film_market_estimation AS T1 JOIN market AS T2 ON T1.market_id  =  T2.Market_ID WHERE country  =  'China')","['film', 'film_market_estimation', 'market']","['films', 'titles', 'directors', 'presented', 'China']"
Return the titles and directors of films that were never in the market of China.,['films'],"['titles', 'directors', 'market']","SELECT title ,  director FROM film WHERE film_id NOT IN (SELECT film_id FROM film_market_estimation AS T1 JOIN market AS T2 ON T1.market_id  =  T2.Market_ID WHERE country  =  'China')","['film', 'film_market_estimation', 'market']","['films', 'titles', 'directors', 'market']"
How many calendar items do we have?,['calendar'],"['items', 'count']",SELECT count(*) FROM Ref_calendar,['Ref_calendar'],"['calendar', 'items', 'count']"
Count the number of all the calendar items.,['calendar'],['count'],SELECT count(*) FROM Ref_calendar,['Ref_calendar'],"['calendar', 'count']"
Show all calendar dates and day Numbers.,['calendar'],"['dates', 'day Numbers']","SELECT calendar_date ,  day_Number FROM Ref_calendar",['Ref_calendar'],"['calendar', 'dates', 'day Numbers']"
What are all the calendar dates and day Numbers?,['calendar'],"['dates', 'day Numbers']","SELECT calendar_date ,  day_Number FROM Ref_calendar",['Ref_calendar'],"['calendar', 'dates', 'day Numbers']"
Show the number of document types.,['document'],"['types', 'number']",SELECT count(*) FROM Ref_document_types,['Ref_document_types'],"['document', 'types', 'number']"
How many document types are there?,['document'],"['types', 'count']",SELECT count(*) FROM Ref_document_types,['Ref_document_types'],"['document', 'types', 'count']"
List all document type codes and document type names.,['document'],"['type codes', 'type names']","SELECT document_type_code ,  document_type_name FROM Ref_document_types",['Ref_document_types'],"['document', 'type codes', 'type names']"
What are all the document type codes and document type names?,['document'],"['type codes', 'type names']","SELECT document_type_code ,  document_type_name FROM Ref_document_types",['Ref_document_types'],"['document', 'type codes', 'type names']"
What is the name and description for document type code RV?,['document'],"['name', 'description', 'type code']","SELECT document_type_name ,  document_type_description FROM Ref_document_types WHERE document_type_code  =  ""RV""",['Ref_document_types'],"['document', 'name', 'description', 'type code']"
Give me the name and description of the document type code RV.,['document type'],"['name', 'description', 'code']","SELECT document_type_name ,  document_type_description FROM Ref_document_types WHERE document_type_code  =  ""RV""",['Ref_document_types'],"['document type', 'name', 'description', 'code']"
"What is the document type code for document type ""Paper""?",['document type'],"['document type code', 'document type']","SELECT document_type_code FROM Ref_document_types WHERE document_type_name  =  ""Paper""",['Ref_document_types'],"['document type', 'document type code', 'document type']"
"Find the code of the document type ""Paper"".",['document type'],"['code', 'Paper']","SELECT document_type_code FROM Ref_document_types WHERE document_type_name  =  ""Paper""",['Ref_document_types'],"['document type', 'code', 'Paper']"
Show the number of documents with document type code CV or BK.,['documents'],"['document type code', 'CV', 'BK']","SELECT count(*) FROM All_documents WHERE document_type_code  =  ""CV"" OR document_type_code  =  ""BK""",['All_documents'],"['documents', 'document type code', 'CV', 'BK']"
How many documents have document type code CV or BK?,['documents'],"['document type code', 'CV', 'BK']","SELECT count(*) FROM All_documents WHERE document_type_code  =  ""CV"" OR document_type_code  =  ""BK""",['All_documents'],"['documents', 'document type code', 'CV', 'BK']"
"What is the date when the document ""Marry CV"" was stored?",['document'],"['date', 'Marry CV']","SELECT date_stored FROM All_documents WHERE Document_name  =  ""Marry CV""",['All_documents'],"['document', 'date', 'Marry CV']"
"When was the document named ""Marry CV"" stored? Give me the date.",['document'],"['Marry CV', 'date', 'stored']","SELECT date_stored FROM All_documents WHERE Document_name  =  ""Marry CV""",['All_documents'],"['document', 'Marry CV', 'date', 'stored']"
What is the day Number and date of all the documents?,['documents'],"['day Number', 'date']","SELECT T2.day_Number ,  T1.Date_Stored FROM All_documents AS T1 JOIN Ref_calendar AS T2 ON T1.date_stored  =  T2.calendar_date","['All_documents', 'Ref_calendar']","['documents', 'day Number', 'date']"
Return the day Number and stored date for all the documents.,['documents'],"['day Number', 'stored date']","SELECT T2.day_Number ,  T1.Date_Stored FROM All_documents AS T1 JOIN Ref_calendar AS T2 ON T1.date_stored  =  T2.calendar_date","['All_documents', 'Ref_calendar']","['documents', 'day Number', 'stored date']"
"What is the document type name for the document with name ""How to read a book""?",['document'],"['document type name', 'name']","SELECT T2.document_type_name FROM All_documents AS T1 JOIN Ref_document_types AS T2 ON T1.document_type_code  =  T2.document_type_code WHERE T1.document_name  =  ""How to read a book""","['All_documents', 'Ref_document_types']","['document', 'document type name', 'name']"
"Find the document type name of the document named ""How to read a book"".",['document'],"['document type', 'name']","SELECT T2.document_type_name FROM All_documents AS T1 JOIN Ref_document_types AS T2 ON T1.document_type_code  =  T2.document_type_code WHERE T1.document_name  =  ""How to read a book""","['All_documents', 'Ref_document_types']","['document', 'document type', 'name']"
Show the number of locations.,['locations'],['number'],SELECT count(*) FROM Ref_locations,['Ref_locations'],"['locations', 'number']"
How many locations are listed in the database?,['locations'],['locations'],SELECT count(*) FROM Ref_locations,['Ref_locations'],"['locations', 'locations']"
